campaign_product_id,product_name,subscription_plan
12183,LITE - ANNUALY SUBSCRIPTION,
12184,BASIC - ANNUALY SUBSCRIPTION,
12185,ADVANCED - ANNUALY SUBSCRIPTION,
12186,PRO  - ANNUALY SUBSCRIPTION,
12187,LITE - BI-WEEKLY SUBSCRIPTION,
12188,BASIC - BI-WEEKLY SUBSCRIPTION,
12189,ADVANCED - BI-WEEKLY SUBSCRIPTION,
12190,PRO  - BI-WEEKLY SUBSCRIPTION,
14182,LITE - MONTHLY SUBSCRIPTION,
14183,BASIC - MONTHLY SUBSCRIPTION,
14184,ADVANCED - MONTHLY SUBSCRIPTION,
14185,PRO  - MONTHLY SUBSCRIPTION,
14186,LITE - QUARTERLY SUBSCRIPTION,
14187,BASIC - QUARTERLY SUBSCRIPTION,
14188,ADVANCED - QUARTERLY SUBSCRIPTION,
14189,PRO  - QUARTERLY SUBSCRIPTION,
37267,10 TOKEN PACK,advanced
37268,20 TOKEN PACK,advanced
37269,30 TOKEN PACK,advanced
37270,40 TOKEN PACK,advanced
37271,50 TOKEN PACK,advanced
37272,60 TOKEN PACK,advanced
37273,70 TOKEN PACK,advanced
37274,80 TOKEN PACK,advanced
37275,90 TOKEN PACK,advanced
37276,100 TOKEN PACK,advanced
37277,110 TOKEN PACK,advanced
37278,120 TOKEN PACK,advanced
37279,130 TOKEN PACK,advanced
37280,140 TOKEN PACK,advanced
37281,150 TOKEN PACK,advanced
37282,160 TOKEN PACK,advanced
37283,170 TOKEN PACK,advanced
37284,180 TOKEN PACK,advanced
37285,190 TOKEN PACK,advanced
37286,200 TOKEN PACK,advanced
37287,210 TOKEN PACK,advanced
37288,220 TOKEN PACK,advanced
37289,230 TOKEN PACK,advanced
37290,240 TOKEN PACK,advanced
37291,250 TOKEN PACK,advanced
37292,260 TOKEN PACK,advanced
37293,270 TOKEN PACK,advanced
37294,280 TOKEN PACK,advanced
37295,290 TOKEN PACK,advanced
37296,300 TOKEN PACK,advanced
37297,310 TOKEN PACK,advanced
37298,320 TOKEN PACK,advanced
37299,330 TOKEN PACK,advanced
37300,340 TOKEN PACK,advanced
37301,350 TOKEN PACK,advanced
37302,360 TOKEN PACK,advanced
37303,370 TOKEN PACK,advanced
37304,380 TOKEN PACK,advanced
37305,390 TOKEN PACK,advanced
37306,400 TOKEN PACK,advanced
37307,410 TOKEN PACK,advanced
37308,420 TOKEN PACK,advanced
37309,430 TOKEN PACK,advanced
37310,440 TOKEN PACK,advanced
37311,450 TOKEN PACK,advanced
37312,460 TOKEN PACK,advanced
37313,470 TOKEN PACK,advanced
37314,480 TOKEN PACK,advanced
37315,490 TOKEN PACK,advanced
37316,500 TOKEN PACK,advanced
37317,10 TOKEN PACK,basic
37318,20 TOKEN PACK,basic
37319,30 TOKEN PACK,basic
37320,40 TOKEN PACK,basic
37321,50 TOKEN PACK,basic
37322,60 TOKEN PACK,basic
37323,70 TOKEN PACK,basic
37324,80 TOKEN PACK,basic
37325,90 TOKEN PACK,basic
37326,100 TOKEN PACK,basic
37327,110 TOKEN PACK,basic
37328,120 TOKEN PACK,basic
37329,130 TOKEN PACK,basic
37330,140 TOKEN PACK,basic
37331,150 TOKEN PACK,basic
37332,160 TOKEN PACK,basic
37333,170 TOKEN PACK,basic
37334,180 TOKEN PACK,basic
37335,190 TOKEN PACK,basic
37336,200 TOKEN PACK,basic
37337,210 TOKEN PACK,basic
37338,220 TOKEN PACK,basic
37339,230 TOKEN PACK,basic
37340,240 TOKEN PACK,basic
37341,250 TOKEN PACK,basic
37342,260 TOKEN PACK,basic
37343,270 TOKEN PACK,basic
37344,280 TOKEN PACK,basic
37345,290 TOKEN PACK,basic
37346,300 TOKEN PACK,basic
37347,310 TOKEN PACK,basic
37348,320 TOKEN PACK,basic
37349,330 TOKEN PACK,basic
37350,340 TOKEN PACK,basic
37351,350 TOKEN PACK,basic
37352,360 TOKEN PACK,basic
37353,370 TOKEN PACK,basic
37354,380 TOKEN PACK,basic
37355,390 TOKEN PACK,basic
37356,400 TOKEN PACK,basic
37357,410 TOKEN PACK,basic
37358,420 TOKEN PACK,basic
37359,430 TOKEN PACK,basic
37360,440 TOKEN PACK,basic
37361,450 TOKEN PACK,basic
37362,460 TOKEN PACK,basic
37363,470 TOKEN PACK,basic
37364,480 TOKEN PACK,basic
37365,490 TOKEN PACK,basic
37366,500 TOKEN PACK,basic
37367,10 TOKEN PACK,à la carte
37368,20 TOKEN PACK,à la carte
37369,30 TOKEN PACK,à la carte
37370,40 TOKEN PACK,à la carte
