campaign_product_id,product_name,subscription_plan
14190,LITE - ANNUALY SUBSCRIPTION,LITE
14191,BASIC - ANNUALY SUBSCRIPTION,BASIC
14192,ADVANCED - ANNUALY SUBSCRIPTION,ADVANCED
14193,PRO  - ANNUALY SUBSCRIPTION,PRO
14194,LITE - BI-WEEKLY SUBSCRIPTION,LITE
14195,BASIC - BI-WEEKLY SUBSCRIPTION,BASIC
14196,ADVANCED - BI-WEEKLY SUBSCRIPTION,ADVANCED
14197,PRO  - BI-WEEKLY SUBSCRIPTION,PRO
16189,LITE - MONTHLY SUBSCRIPTION,LITE
16190,BASIC - MONTHLY SUBSCRIPTION,BASIC
16191,ADVANCED - MONTHLY SUBSCRIPTION,ADVANCED
16192,PRO  - MONTHLY SUBSCRIPTION,PRO
16193,LITE - QUARTERLY SUBSCRIPTION,LITE
16194,BASIC - QUARTERLY SUBSCRIPTION,BASIC
16195,ADVANCED - QUARTERLY SUBSCRIPTION,ADVANCED
16196,PRO  - QUARTERLY SUBSCRIPTION,PRO
37517,10 TOKEN PACK,advanced
37518,20 TOKEN PACK,advanced
37519,30 TOKEN PACK,advanced
37520,40 TOKEN PACK,advanced
37521,50 TOKEN PACK,advanced
37522,60 TOKEN PACK,advanced
37523,70 TOKEN PACK,advanced
37524,80 TOKEN PACK,advanced
37525,90 TOKEN PACK,advanced
37526,100 TOKEN PACK,advanced
37527,110 TOKEN PACK,advanced
37528,120 TOKEN PACK,advanced
37529,130 TOKEN PACK,advanced
37530,140 TOKEN PACK,advanced
37531,150 TOKEN PACK,advanced
37532,160 TOKEN PACK,advanced
37533,170 TOKEN PACK,advanced
37534,180 TOKEN PACK,advanced
37535,190 TOKEN PACK,advanced
37536,200 TOKEN PACK,advanced
37537,210 TOKEN PACK,advanced
37538,220 TOKEN PACK,advanced
37539,230 TOKEN PACK,advanced
37540,240 TOKEN PACK,advanced
37541,250 TOKEN PACK,advanced
37542,260 TOKEN PACK,advanced
37543,270 TOKEN PACK,advanced
37544,280 TOKEN PACK,advanced
37545,290 TOKEN PACK,advanced
37546,300 TOKEN PACK,advanced
37547,310 TOKEN PACK,advanced
37548,320 TOKEN PACK,advanced
37549,330 TOKEN PACK,advanced
37550,340 TOKEN PACK,advanced
37551,350 TOKEN PACK,advanced
37552,360 TOKEN PACK,advanced
37553,370 TOKEN PACK,advanced
37554,380 TOKEN PACK,advanced
37555,390 TOKEN PACK,advanced
37556,400 TOKEN PACK,advanced
37557,410 TOKEN PACK,advanced
37558,420 TOKEN PACK,advanced
37559,430 TOKEN PACK,advanced
37560,440 TOKEN PACK,advanced
37561,450 TOKEN PACK,advanced
37562,460 TOKEN PACK,advanced
37563,470 TOKEN PACK,advanced
37564,480 TOKEN PACK,advanced
37565,490 TOKEN PACK,advanced
37566,500 TOKEN PACK,advanced
37567,10 TOKEN PACK,basic
37568,20 TOKEN PACK,basic
37569,30 TOKEN PACK,basic
37570,40 TOKEN PACK,basic
37571,50 TOKEN PACK,basic
37572,60 TOKEN PACK,basic
37573,70 TOKEN PACK,basic
37574,80 TOKEN PACK,basic
37575,90 TOKEN PACK,basic
37576,100 TOKEN PACK,basic
37577,110 TOKEN PACK,basic
37578,120 TOKEN PACK,basic
37579,130 TOKEN PACK,basic
37580,140 TOKEN PACK,basic
37581,150 TOKEN PACK,basic
37582,160 TOKEN PACK,basic
37583,170 TOKEN PACK,basic
37584,180 TOKEN PACK,basic
37585,190 TOKEN PACK,basic
37586,200 TOKEN PACK,basic
37587,210 TOKEN PACK,basic
37588,220 TOKEN PACK,basic
37589,230 TOKEN PACK,basic
37590,240 TOKEN PACK,basic
37591,250 TOKEN PACK,basic
37592,260 TOKEN PACK,basic
37593,270 TOKEN PACK,basic
37594,280 TOKEN PACK,basic
37595,290 TOKEN PACK,basic
37596,300 TOKEN PACK,basic
37597,310 TOKEN PACK,basic
37598,320 TOKEN PACK,basic
37599,330 TOKEN PACK,basic
37600,340 TOKEN PACK,basic
37601,350 TOKEN PACK,basic
37602,360 TOKEN PACK,basic
37603,370 TOKEN PACK,basic
37604,380 TOKEN PACK,basic
37605,390 TOKEN PACK,basic
37606,400 TOKEN PACK,basic
37607,410 TOKEN PACK,basic
37608,420 TOKEN PACK,basic
37609,430 TOKEN PACK,basic
37610,440 TOKEN PACK,basic
37611,450 TOKEN PACK,basic
37612,460 TOKEN PACK,basic
37613,470 TOKEN PACK,basic
37614,480 TOKEN PACK,basic
37615,490 TOKEN PACK,basic
37616,500 TOKEN PACK,basic
37617,10 TOKEN PACK,à la carte
37618,20 TOKEN PACK,à la carte
37619,30 TOKEN PACK,à la carte
37620,40 TOKEN PACK,à la carte
37621,50 TOKEN PACK,à la carte
37622,60 TOKEN PACK,à la carte
37623,70 TOKEN PACK,à la carte
37624,80 TOKEN PACK,à la carte
37625,90 TOKEN PACK,à la carte
37626,100 TOKEN PACK,à la carte
37627,110 TOKEN PACK,à la carte
37628,120 TOKEN PACK,à la carte
37629,130 TOKEN PACK,à la carte
37630,140 TOKEN PACK,à la carte
37631,150 TOKEN PACK,à la carte
37632,160 TOKEN PACK,à la carte
37633,170 TOKEN PACK,à la carte
37634,180 TOKEN PACK,à la carte
37635,190 TOKEN PACK,à la carte
37636,200 TOKEN PACK,à la carte
37637,210 TOKEN PACK,à la carte
37638,220 TOKEN PACK,à la carte
37639,230 TOKEN PACK,à la carte
37640,240 TOKEN PACK,à la carte
37641,250 TOKEN PACK,à la carte
37642,260 TOKEN PACK,à la carte
37643,270 TOKEN PACK,à la carte
37644,280 TOKEN PACK,à la carte
37645,290 TOKEN PACK,à la carte
37646,300 TOKEN PACK,à la carte
37647,310 TOKEN PACK,à la carte
37648,320 TOKEN PACK,à la carte
37649,330 TOKEN PACK,à la carte
37650,340 TOKEN PACK,à la carte
37651,350 TOKEN PACK,à la carte
37652,360 TOKEN PACK,à la carte
37653,370 TOKEN PACK,à la carte
37654,380 TOKEN PACK,à la carte
37655,390 TOKEN PACK,à la carte
37656,400 TOKEN PACK,à la carte
37657,410 TOKEN PACK,à la carte
37658,420 TOKEN PACK,à la carte
37659,430 TOKEN PACK,à la carte
37660,440 TOKEN PACK,à la carte
37661,450 TOKEN PACK,à la carte
37662,460 TOKEN PACK,à la carte
37663,470 TOKEN PACK,à la carte
37664,480 TOKEN PACK,à la carte
37665,490 TOKEN PACK,à la carte
37666,500 TOKEN PACK,à la carte
37667,10 TOKEN PACK,lite
37668,20 TOKEN PACK,lite
37669,30 TOKEN PACK,lite
37670,40 TOKEN PACK,lite
37671,50 TOKEN PACK,lite
37672,60 TOKEN PACK,lite
37673,70 TOKEN PACK,lite
37674,80 TOKEN PACK,lite
37675,90 TOKEN PACK,lite
37676,100 TOKEN PACK,lite
37677,110 TOKEN PACK,lite
37678,120 TOKEN PACK,lite
37679,130 TOKEN PACK,lite
37680,140 TOKEN PACK,lite
37681,150 TOKEN PACK,lite
37682,160 TOKEN PACK,lite
37683,170 TOKEN PACK,lite
37684,180 TOKEN PACK,lite
37685,190 TOKEN PACK,lite
37686,200 TOKEN PACK,lite
37687,210 TOKEN PACK,lite
37688,220 TOKEN PACK,lite
37689,230 TOKEN PACK,lite
37690,240 TOKEN PACK,lite
37691,250 TOKEN PACK,lite
37692,260 TOKEN PACK,lite
