campaign_product_id,product_name,subscription_plan
16197,LITE - ANNUALY SUBSCRIPTION,
16198,BASIC - ANNUALY SUBSCRIPTION,
16199,ADVANCED - ANNUALY SUBSCRIPTION,
16200,PRO  - ANNUALY SUBSCRIPTION,
16201,LITE - BI-WEEKLY SUBSCRIPTION,
16202,BASIC - BI-WEEKLY SUBSCRIPTION,
16203,ADVANCED - BI-WEEKLY SUBSCRIPTION,
16204,PRO  - BI-WEEKLY SUBSCRIPTION,
18196,LITE - MONTHLY SUBSCRIPTION,
18197,BASIC - MONTHLY SUBSCRIPTION,
18198,ADVANCED - MONTHLY SUBSCRIPTION,
18199,PRO  - MONTHLY SUBSCRIPTION,
18200,LITE - QUARTERLY SUBSCRIPTION,
18201,BASIC - QUARTERLY SUBSCRIPTION,
18202,ADVANCED - QUARTERLY SUBSCRIPTION,
18203,PRO  - QUARTERLY SUBSCRIPTION,
38517,10 TOKEN PACK,advanced
38518,20 TOKEN PACK,advanced
38519,30 TOKEN PACK,advanced
38520,40 TOKEN PACK,advanced
38521,50 TOKEN PACK,advanced
38522,60 TOKEN PACK,advanced
38523,70 TOKEN PACK,advanced
38524,80 TOKEN PACK,advanced
38525,90 TOKEN PACK,advanced
38526,100 TOKEN PACK,advanced
38527,110 TOKEN PACK,advanced
38528,120 TOKEN PACK,advanced
38529,130 TOKEN PACK,advanced
38530,140 TOKEN PACK,advanced
38531,150 TOKEN PACK,advanced
38532,160 TOKEN PACK,advanced
38533,170 TOKEN PACK,advanced
38534,180 TOKEN PACK,advanced
38535,190 TOKEN PACK,advanced
38536,200 TOKEN PACK,advanced
38537,210 TOKEN PACK,advanced
38538,220 TOKEN PACK,advanced
38539,230 TOKEN PACK,advanced
38540,240 TOKEN PACK,advanced
38541,250 TOKEN PACK,advanced
38542,260 TOKEN PACK,advanced
38543,270 TOKEN PACK,advanced
38544,280 TOKEN PACK,advanced
38545,290 TOKEN PACK,advanced
38546,300 TOKEN PACK,advanced
38547,310 TOKEN PACK,advanced
38548,320 TOKEN PACK,advanced
38549,330 TOKEN PACK,advanced
38550,340 TOKEN PACK,advanced
38551,350 TOKEN PACK,advanced
38552,360 TOKEN PACK,advanced
38553,370 TOKEN PACK,advanced
38554,380 TOKEN PACK,advanced
38555,390 TOKEN PACK,advanced
38556,400 TOKEN PACK,advanced
38557,410 TOKEN PACK,advanced
38558,420 TOKEN PACK,advanced
38559,430 TOKEN PACK,advanced
38560,440 TOKEN PACK,advanced
38561,450 TOKEN PACK,advanced
38562,460 TOKEN PACK,advanced
38563,470 TOKEN PACK,advanced
38564,480 TOKEN PACK,advanced
38565,490 TOKEN PACK,advanced
38566,500 TOKEN PACK,advanced
38567,10 TOKEN PACK,basic
38568,20 TOKEN PACK,basic
38569,30 TOKEN PACK,basic
38570,40 TOKEN PACK,basic
38571,50 TOKEN PACK,basic
38572,60 TOKEN PACK,basic
38573,70 TOKEN PACK,basic
38574,80 TOKEN PACK,basic
38575,90 TOKEN PACK,basic
38576,100 TOKEN PACK,basic
38577,110 TOKEN PACK,basic
38578,120 TOKEN PACK,basic
38579,130 TOKEN PACK,basic
38580,140 TOKEN PACK,basic
38581,150 TOKEN PACK,basic
38582,160 TOKEN PACK,basic
38583,170 TOKEN PACK,basic
38584,180 TOKEN PACK,basic
38585,190 TOKEN PACK,basic
38586,200 TOKEN PACK,basic
38587,210 TOKEN PACK,basic
38588,220 TOKEN PACK,basic
38589,230 TOKEN PACK,basic
38590,240 TOKEN PACK,basic
38591,250 TOKEN PACK,basic
38592,260 TOKEN PACK,basic
38593,270 TOKEN PACK,basic
38594,280 TOKEN PACK,basic
38595,290 TOKEN PACK,basic
38596,300 TOKEN PACK,basic
38597,310 TOKEN PACK,basic
38598,320 TOKEN PACK,basic
38599,330 TOKEN PACK,basic
38600,340 TOKEN PACK,basic
38601,350 TOKEN PACK,basic
38602,360 TOKEN PACK,basic
38603,370 TOKEN PACK,basic
38604,380 TOKEN PACK,basic
38605,390 TOKEN PACK,basic
38606,400 TOKEN PACK,basic
38607,410 TOKEN PACK,basic
38608,420 TOKEN PACK,basic
38609,430 TOKEN PACK,basic
38610,440 TOKEN PACK,basic
38611,450 TOKEN PACK,basic
38612,460 TOKEN PACK,basic
38613,470 TOKEN PACK,basic
38614,480 TOKEN PACK,basic
38615,490 TOKEN PACK,basic
38616,500 TOKEN PACK,basic
38617,10 TOKEN PACK,à la carte
38618,20 TOKEN PACK,à la carte
38619,30 TOKEN PACK,à la carte
38620,40 TOKEN PACK,à la carte
38621,50 TOKEN PACK,à la carte
38622,60 TOKEN PACK,à la carte
38623,70 TOKEN PACK,à la carte
38624,80 TOKEN PACK,à la carte
38625,90 TOKEN PACK,à la carte
38626,100 TOKEN PACK,à la carte
38627,110 TOKEN PACK,à la carte
38628,120 TOKEN PACK,à la carte
38629,130 TOKEN PACK,à la carte
38630,140 TOKEN PACK,à la carte
38631,150 TOKEN PACK,à la carte
38632,160 TOKEN PACK,à la carte
38633,170 TOKEN PACK,à la carte
38634,180 TOKEN PACK,à la carte
38635,190 TOKEN PACK,à la carte
38636,200 TOKEN PACK,à la carte
38637,210 TOKEN PACK,à la carte
38638,220 TOKEN PACK,à la carte
38639,230 TOKEN PACK,à la carte
38640,240 TOKEN PACK,à la carte
38641,250 TOKEN PACK,à la carte
38642,260 TOKEN PACK,à la carte
38643,270 TOKEN PACK,à la carte
38644,280 TOKEN PACK,à la carte
38645,290 TOKEN PACK,à la carte
38646,300 TOKEN PACK,à la carte
38647,310 TOKEN PACK,à la carte
38648,320 TOKEN PACK,à la carte
38649,330 TOKEN PACK,à la carte
38650,340 TOKEN PACK,à la carte
38651,350 TOKEN PACK,à la carte
38652,360 TOKEN PACK,à la carte
38653,370 TOKEN PACK,à la carte
38654,380 TOKEN PACK,à la carte
38655,390 TOKEN PACK,à la carte
38656,400 TOKEN PACK,à la carte
38657,410 TOKEN PACK,à la carte
38658,420 TOKEN PACK,à la carte
38659,430 TOKEN PACK,à la carte
38660,440 TOKEN PACK,à la carte
38661,450 TOKEN PACK,à la carte
38662,460 TOKEN PACK,à la carte
38663,470 TOKEN PACK,à la carte
38664,480 TOKEN PACK,à la carte
38665,490 TOKEN PACK,à la carte
38666,500 TOKEN PACK,à la carte
38667,10 TOKEN PACK,lite
38668,20 TOKEN PACK,lite
38669,30 TOKEN PACK,lite
38670,40 TOKEN PACK,lite
38671,50 TOKEN PACK,lite
38672,60 TOKEN PACK,lite
38673,70 TOKEN PACK,lite
38674,80 TOKEN PACK,lite
38675,90 TOKEN PACK,lite
38676,100 TOKEN PACK,lite
38677,110 TOKEN PACK,lite
38678,120 TOKEN PACK,lite
38679,130 TOKEN PACK,lite
38680,140 TOKEN PACK,lite
38681,150 TOKEN PACK,lite
38682,160 TOKEN PACK,lite
38683,170 TOKEN PACK,lite
38684,180 TOKEN PACK,lite
38685,190 TOKEN PACK,lite
38686,200 TOKEN PACK,lite
