campaign_product_id,product_name,subscription_plan
18204,LITE - ANNUALY SUBSCRIPTION,
18205,BASIC - ANNUALY SUBSCRIPTION,
18206,ADVANCED - ANNUALY SUBSCRIPTION,
18207,PRO  - ANNUALY SUBSCRIPTION,
18208,LITE - BI-WEEKLY SUBSCRIPTION,
18209,BASIC - BI-WEEKLY SUBSCRIPTION,
18210,ADVANCED - BI-WEEKLY SUBSCRIPTION,
18211,PRO  - BI-WEEKLY SUBSCRIPTION,
20203,LITE - MONTHLY SUBSCRIPTION,
20204,BASIC - MONTHLY SUBSCRIPTION,
20205,ADVANCED - MONTHLY SUBSCRIPTION,
20206,PRO  - MONTHLY SUBSCRIPTION,
20207,LITE - QUARTERLY SUBSCRIPTION,
20208,BASIC - QUARTERLY SUBSCRIPTION,
20209,ADVANCED - QUARTERLY SUBSCRIPTION,
20210,PRO  - QUARTERLY SUBSCRIPTION,
40017,10 TOKEN PACK,advanced
40018,20 TOKEN PACK,advanced
40019,30 TOKEN PACK,advanced
40020,40 TOKEN PACK,advanced
40021,50 TOKEN PACK,advanced
40022,60 TOKEN PACK,advanced
40023,70 TOKEN PACK,advanced
40024,80 TOKEN PACK,advanced
40025,90 TOKEN PACK,advanced
40026,100 TOKEN PACK,advanced
40027,110 TOKEN PACK,advanced
40028,120 TOKEN PACK,advanced
40029,130 TOKEN PACK,advanced
40030,140 TOKEN PACK,advanced
40031,150 TOKEN PACK,advanced
40032,160 TOKEN PACK,advanced
40033,170 TOKEN PACK,advanced
40034,180 TOKEN PACK,advanced
40035,190 TOKEN PACK,advanced
40036,200 TOKEN PACK,advanced
40037,210 TOKEN PACK,advanced
40038,220 TOKEN PACK,advanced
40039,230 TOKEN PACK,advanced
40040,240 TOKEN PACK,advanced
40041,250 TOKEN PACK,advanced
40042,260 TOKEN PACK,advanced
40043,270 TOKEN PACK,advanced
40044,280 TOKEN PACK,advanced
40045,290 TOKEN PACK,advanced
40046,300 TOKEN PACK,advanced
40047,310 TOKEN PACK,advanced
40048,320 TOKEN PACK,advanced
40049,330 TOKEN PACK,advanced
40050,340 TOKEN PACK,advanced
40051,350 TOKEN PACK,advanced
40052,360 TOKEN PACK,advanced
40053,370 TOKEN PACK,advanced
40054,380 TOKEN PACK,advanced
40055,390 TOKEN PACK,advanced
40056,400 TOKEN PACK,advanced
40057,410 TOKEN PACK,advanced
40058,420 TOKEN PACK,advanced
40059,430 TOKEN PACK,advanced
40060,440 TOKEN PACK,advanced
40061,450 TOKEN PACK,advanced
40062,460 TOKEN PACK,advanced
40063,470 TOKEN PACK,advanced
40064,480 TOKEN PACK,advanced
40065,490 TOKEN PACK,advanced
40066,500 TOKEN PACK,advanced
40067,10 TOKEN PACK,basic
40068,20 TOKEN PACK,basic
40069,30 TOKEN PACK,basic
40070,40 TOKEN PACK,basic
40071,50 TOKEN PACK,basic
40072,60 TOKEN PACK,basic
40073,70 TOKEN PACK,basic
40074,80 TOKEN PACK,basic
40075,90 TOKEN PACK,basic
40076,100 TOKEN PACK,basic
40077,110 TOKEN PACK,basic
40078,120 TOKEN PACK,basic
40079,130 TOKEN PACK,basic
40080,140 TOKEN PACK,basic
40081,150 TOKEN PACK,basic
40082,160 TOKEN PACK,basic
40083,170 TOKEN PACK,basic
40084,180 TOKEN PACK,basic
40085,190 TOKEN PACK,basic
40086,200 TOKEN PACK,basic
40087,210 TOKEN PACK,basic
40088,220 TOKEN PACK,basic
40089,230 TOKEN PACK,basic
40090,240 TOKEN PACK,basic
40091,250 TOKEN PACK,basic
40092,260 TOKEN PACK,basic
40093,270 TOKEN PACK,basic
40094,280 TOKEN PACK,basic
40095,290 TOKEN PACK,basic
40096,300 TOKEN PACK,basic
40097,310 TOKEN PACK,basic
40098,320 TOKEN PACK,basic
40099,330 TOKEN PACK,basic
40100,340 TOKEN PACK,basic
40101,350 TOKEN PACK,basic
40102,360 TOKEN PACK,basic
40103,370 TOKEN PACK,basic
40104,380 TOKEN PACK,basic
40105,390 TOKEN PACK,basic
40106,400 TOKEN PACK,basic
40107,410 TOKEN PACK,basic
40108,420 TOKEN PACK,basic
40109,430 TOKEN PACK,basic
40110,440 TOKEN PACK,basic
40111,450 TOKEN PACK,basic
40112,460 TOKEN PACK,basic
40113,470 TOKEN PACK,basic
40114,480 TOKEN PACK,basic
40115,490 TOKEN PACK,basic
40116,500 TOKEN PACK,basic
40117,10 TOKEN PACK,à la carte
40118,20 TOKEN PACK,à la carte
40119,30 TOKEN PACK,à la carte
40120,40 TOKEN PACK,à la carte
40121,50 TOKEN PACK,à la carte
40122,60 TOKEN PACK,à la carte
40123,70 TOKEN PACK,à la carte
40124,80 TOKEN PACK,à la carte
40125,90 TOKEN PACK,à la carte
40126,100 TOKEN PACK,à la carte
40127,110 TOKEN PACK,à la carte
40128,120 TOKEN PACK,à la carte
40129,130 TOKEN PACK,à la carte
40130,140 TOKEN PACK,à la carte
40131,150 TOKEN PACK,à la carte
40132,160 TOKEN PACK,à la carte
40133,170 TOKEN PACK,à la carte
40134,180 TOKEN PACK,à la carte
40135,190 TOKEN PACK,à la carte
40136,200 TOKEN PACK,à la carte
40137,210 TOKEN PACK,à la carte
40138,220 TOKEN PACK,à la carte
40139,230 TOKEN PACK,à la carte
40140,240 TOKEN PACK,à la carte
40141,250 TOKEN PACK,à la carte
40142,260 TOKEN PACK,à la carte
40143,270 TOKEN PACK,à la carte
40144,280 TOKEN PACK,à la carte
40145,290 TOKEN PACK,à la carte
40146,300 TOKEN PACK,à la carte
40147,310 TOKEN PACK,à la carte
40148,320 TOKEN PACK,à la carte
40149,330 TOKEN PACK,à la carte
40150,340 TOKEN PACK,à la carte
40151,350 TOKEN PACK,à la carte
40152,360 TOKEN PACK,à la carte
40153,370 TOKEN PACK,à la carte
40154,380 TOKEN PACK,à la carte
40155,390 TOKEN PACK,à la carte
40156,400 TOKEN PACK,à la carte
40157,410 TOKEN PACK,à la carte
40158,420 TOKEN PACK,à la carte
40159,430 TOKEN PACK,à la carte
40160,440 TOKEN PACK,à la carte
40161,450 TOKEN PACK,à la carte
40162,460 TOKEN PACK,à la carte
40163,470 TOKEN PACK,à la carte
40164,480 TOKEN PACK,à la carte
40165,490 TOKEN PACK,à la carte
40166,500 TOKEN PACK,à la carte
40167,10 TOKEN PACK,lite
40168,20 TOKEN PACK,lite
40169,30 TOKEN PACK,lite
40170,40 TOKEN PACK,lite
40171,50 TOKEN PACK,lite
40172,60 TOKEN PACK,lite
40173,70 TOKEN PACK,lite
40174,80 TOKEN PACK,lite
40175,90 TOKEN PACK,lite
40176,100 TOKEN PACK,lite
40177,110 TOKEN PACK,lite
40178,120 TOKEN PACK,lite
40179,130 TOKEN PACK,lite
40180,140 TOKEN PACK,lite
40181,150 TOKEN PACK,lite
40182,160 TOKEN PACK,lite
40183,170 TOKEN PACK,lite
40184,180 TOKEN PACK,lite
40185,190 TOKEN PACK,lite
40186,200 TOKEN PACK,lite
40187,210 TOKEN PACK,lite
40188,220 TOKEN PACK,lite
40189,230 TOKEN PACK,lite
40190,240 TOKEN PACK,lite
40191,250 TOKEN PACK,lite
40192,260 TOKEN PACK,lite
40193,270 TOKEN PACK,lite
40194,280 TOKEN PACK,lite
40195,290 TOKEN PACK,lite
40196,300 TOKEN PACK,lite
40197,310 TOKEN PACK,lite
40198,320 TOKEN PACK,lite
40199,330 TOKEN PACK,lite
40200,340 TOKEN PACK,lite
40201,350 TOKEN PACK,lite
40202,360 TOKEN PACK,lite
40203,370 TOKEN PACK,lite
40204,380 TOKEN PACK,lite
40205,390 TOKEN PACK,lite
40206,400 TOKEN PACK,lite
40207,410 TOKEN PACK,lite
40208,420 TOKEN PACK,lite
40209,430 TOKEN PACK,lite
40210,440 TOKEN PACK,lite
40211,450 TOKEN PACK,lite
40212,460 TOKEN PACK,lite
40213,470 TOKEN PACK,lite
40214,480 TOKEN PACK,lite
40215,490 TOKEN PACK,lite
40216,500 TOKEN PACK,lite
40217,10 TOKEN PACK,pro
40218,20 TOKEN PACK,pro
40219,30 TOKEN PACK,pro
40220,40 TOKEN PACK,pro
40221,50 TOKEN PACK,pro
40222,60 TOKEN PACK,pro
40223,70 TOKEN PACK,pro
40224,80 TOKEN PACK,pro
40225,90 TOKEN PACK,pro
40226,100 TOKEN PACK,pro
40227,110 TOKEN PACK,pro
40228,120 TOKEN PACK,pro
40229,130 TOKEN PACK,pro
40230,140 TOKEN PACK,pro
40231,150 TOKEN PACK,pro
40232,160 TOKEN PACK,pro
40233,170 TOKEN PACK,pro
