campaign_product_id,product_name,subscription_plan
20211,LITE - ANNUALY SUBSCRIPTION,lite
20212,BASIC - ANNUALY SUBSCRIPTION,basic
20213,ADVANCED - ANNUALY SUBSCRIPTION,advanced
20214,PRO  - ANNUALY SUBSCRIPTION,pro
20215,LITE - BI-WEEKLY SUBSCRIPTION,lite
20216,BASIC - BI-WEEKLY SUBSCRIPTION,basic
20217,ADVANCED - BI-WEEKLY SUBSCRIPTION,advanced
20218,PRO  - BI-WEEKLY SUBSCRIPTION,pro
22210,LITE - MONTHLY SUBSCRIPTION,lite
22211,BASIC - MONTHLY SUBSCRIPTION,basic
22212,ADVANCED - MONTHLY SUBSCRIPTION,advanced
22213,PRO  - MONTHLY SUBSCRIPTION,pro
22214,LITE - QUARTERLY SUBSCRIPTION,lite
22215,BASIC - QUARTERLY SUBSCRIPTION,basic
22216,ADVANCED - QUARTERLY SUBSCRIPTION,advanced
22217,PRO  - QUARTERLY SUBSCRIPTION,pro
36767,10 TOKEN PACK,advanced
36768,20 TOKEN PACK,advanced
36769,30 TOKEN PACK,advanced
36770,40 TOKEN PACK,advanced
36771,50 TOKEN PACK,advanced
36772,60 TOKEN PACK,advanced
36773,70 TOKEN PACK,advanced
36774,80 TOKEN PACK,advanced
36775,90 TOKEN PACK,advanced
36776,100 TOKEN PACK,advanced
36777,110 TOKEN PACK,advanced
36778,120 TOKEN PACK,advanced
36779,130 TOKEN PACK,advanced
36780,140 TOKEN PACK,advanced
36781,150 TOKEN PACK,advanced
36782,160 TOKEN PACK,advanced
36783,170 TOKEN PACK,advanced
36784,180 TOKEN PACK,advanced
36785,190 TOKEN PACK,advanced
36786,200 TOKEN PACK,advanced
36787,210 TOKEN PACK,advanced
36788,220 TOKEN PACK,advanced
36789,230 TOKEN PACK,advanced
36790,240 TOKEN PACK,advanced
36791,250 TOKEN PACK,advanced
36792,260 TOKEN PACK,advanced
36793,270 TOKEN PACK,advanced
36794,280 TOKEN PACK,advanced
36795,290 TOKEN PACK,advanced
36796,300 TOKEN PACK,advanced
36797,310 TOKEN PACK,advanced
36798,320 TOKEN PACK,advanced
36799,330 TOKEN PACK,advanced
36800,340 TOKEN PACK,advanced
36801,350 TOKEN PACK,advanced
36802,360 TOKEN PACK,advanced
36803,370 TOKEN PACK,advanced
36804,380 TOKEN PACK,advanced
36805,390 TOKEN PACK,advanced
36806,400 TOKEN PACK,advanced
36807,410 TOKEN PACK,advanced
36808,420 TOKEN PACK,advanced
36809,430 TOKEN PACK,advanced
36810,440 TOKEN PACK,advanced
36811,450 TOKEN PACK,advanced
36812,460 TOKEN PACK,advanced
36813,470 TOKEN PACK,advanced
36814,480 TOKEN PACK,advanced
36815,490 TOKEN PACK,advanced
36816,500 TOKEN PACK,advanced
36817,10 TOKEN PACK,basic
36818,20 TOKEN PACK,basic
36819,30 TOKEN PACK,basic
36820,40 TOKEN PACK,basic
36821,50 TOKEN PACK,basic
36822,60 TOKEN PACK,basic
