product_id,campaign_product_id,product_name,product_type,product_sku,product_description,price,shipping_price,product_cost,weight,image_url,cycle1_price,cycle1_shipPrice,cycle1_isShippable,cycle1_billDelay
6064,22218,LITE - ANNUALY SUBSCRIPTION,OFFER,,,191.04,0.00,,0.000,,191.04,0.00,0,365
6065,22219,BASIC - ANNUALY SUBSCRIPTION,OFFER,,,335.04,0.00,,0.000,,335.04,0.00,0,365
6066,22220,ADVANCED - ANNUALY SUBSCRIPTION,OFFER,,,479.04,0.00,,0.000,,479.04,0.00,0,365
6067,22221,PRO  - ANNUALY SUBSCRIPTION,OFFER,,,671.04,0.00,,0.000,,671.04,0.00,0,365
6052,22222,LITE - BI-WEEKLY SUBSCRIPTION,OFFER,,,11.94,0.00,,0.000,,11.94,0.00,0,14
6053,22223,BASIC - BI-WEEKLY SUBSCRIPTION,OFFER,,,20.94,0.00,,0.000,,20.94,0.00,0,14
6054,22224,ADVANCED - BI-WEEKLY SUBSCRIPTION,OFFER,,,29.94,0.00,,0.000,,29.94,0.00,0,14
6055,22225,PRO  - BI-WEEKLY SUBSCRIPTION,OFFER,,,41.94,0.00,,0.000,,41.94,0.00,0,14
4061,22226,9,OFFER,,,9.00,0.00,,0.000,,9.00,0.00,0,
4062,22227,9.1,OFFER,,,9.10,0.00,,0.000,,9.10,0.00,0,
4063,22228,9.2,OFFER,,,9.20,0.00,,0.000,,9.20,0.00,0,
4064,22229,9.3,OFFER,,,9.30,0.00,,0.000,,9.30,0.00,0,
4065,22230,9.4,OFFER,,,9.40,0.00,,0.000,,9.40,0.00,0,
4066,22231,9.5,OFFER,,,9.50,0.00,,0.000,,9.50,0.00,0,
4067,22232,9.6,OFFER,,,9.60,0.00,,0.000,,9.60,0.00,0,
4068,22233,9.7,OFFER,,,9.70,0.00,,0.000,,9.70,0.00,0,
4069,22234,9.8,OFFER,,,9.80,0.00,,0.000,,9.80,0.00,0,
4070,22235,9.9,OFFER,,,9.90,0.00,,0.000,,9.90,0.00,0,
4071,22236,10,OFFER,,,10.00,0.00,,0.000,,10.00,0.00,0,
4072,22237,10.1,OFFER,,,10.10,0.00,,0.000,,10.10,0.00,0,
4073,22238,10.2,OFFER,,,10.20,0.00,,0.000,,10.20,0.00,0,
4074,22239,10.3,OFFER,,,10.30,0.00,,0.000,,10.30,0.00,0,
4075,22240,10.4,OFFER,,,10.40,0.00,,0.000,,10.40,0.00,0,
4076,22241,10.5,OFFER,,,10.50,0.00,,0.000,,10.50,0.00,0,
4077,22242,10.6,OFFER,,,10.60,0.00,,0.000,,10.60,0.00,0,
4078,22243,10.7,OFFER,,,10.70,0.00,,0.000,,10.70,0.00,0,
4079,22244,10.8,OFFER,,,10.80,0.00,,0.000,,10.80,0.00,0,
4080,22245,10.9,OFFER,,,10.90,0.00,,0.000,,10.90,0.00,0,
4081,22246,11,OFFER,,,11.00,0.00,,0.000,,11.00,0.00,0,
4082,22247,11.1,OFFER,,,11.10,0.00,,0.000,,11.10,0.00,0,
4083,22248,11.2,OFFER,,,11.20,0.00,,0.000,,11.20,0.00,0,
4084,22249,11.3,OFFER,,,11.30,0.00,,0.000,,11.30,0.00,0,
4085,22250,11.4,OFFER,,,11.40,0.00,,0.000,,11.40,0.00,0,
4086,22251,11.5,OFFER,,,11.50,0.00,,0.000,,11.50,0.00,0,
4087,22252,11.6,OFFER,,,11.60,0.00,,0.000,,11.60,0.00,0,
4088,22253,11.7,OFFER,,,11.70,0.00,,0.000,,11.70,0.00,0,
4089,22254,11.8,OFFER,,,11.80,0.00,,0.000,,11.80,0.00,0,
4090,22255,11.9,OFFER,,,11.90,0.00,,0.000,,11.90,0.00,0,
4091,22256,12,OFFER,,,12.00,0.00,,0.000,,12.00,0.00,0,
4092,22257,12.1,OFFER,,,12.10,0.00,,0.000,,12.10,0.00,0,
4093,22258,12.2,OFFER,,,12.20,0.00,,0.000,,12.20,0.00,0,
4094,22259,12.3,OFFER,,,12.30,0.00,,0.000,,12.30,0.00,0,
4095,22260,12.4,OFFER,,,12.40,0.00,,0.000,,12.40,0.00,0,
4096,22261,12.5,OFFER,,,12.50,0.00,,0.000,,12.50,0.00,0,
4097,22262,12.6,OFFER,,,12.60,0.00,,0.000,,12.60,0.00,0,
4098,22263,12.7,OFFER,,,12.70,0.00,,0.000,,12.70,0.00,0,
4099,22264,12.8,OFFER,,,12.80,0.00,,0.000,,12.80,0.00,0,
4100,22265,12.9,OFFER,,,12.90,0.00,,0.000,,12.90,0.00,0,
4101,22266,13,OFFER,,,13.00,0.00,,0.000,,13.00,0.00,0,
4102,22267,13.1,OFFER,,,13.10,0.00,,0.000,,13.10,0.00,0,
4103,22268,13.2,OFFER,,,13.20,0.00,,0.000,,13.20,0.00,0,
4104,22269,13.3,OFFER,,,13.30,0.00,,0.000,,13.30,0.00,0,
4105,22270,13.4,OFFER,,,13.40,0.00,,0.000,,13.40,0.00,0,
4106,22271,13.5,OFFER,,,13.50,0.00,,0.000,,13.50,0.00,0,
4107,22272,13.6,OFFER,,,13.60,0.00,,0.000,,13.60,0.00,0,
4108,22273,13.7,OFFER,,,13.70,0.00,,0.000,,13.70,0.00,0,
4109,22274,13.8,OFFER,,,13.80,0.00,,0.000,,13.80,0.00,0,
4110,22275,13.9,OFFER,,,13.90,0.00,,0.000,,13.90,0.00,0,
4111,22276,14,OFFER,,,14.00,0.00,,0.000,,14.00,0.00,0,
4112,22277,14.1,OFFER,,,14.10,0.00,,0.000,,14.10,0.00,0,
4113,22278,14.2,OFFER,,,14.20,0.00,,0.000,,14.20,0.00,0,
4114,22279,14.3,OFFER,,,14.30,0.00,,0.000,,14.30,0.00,0,
4115,22280,14.4,OFFER,,,14.40,0.00,,0.000,,14.40,0.00,0,
4116,22281,14.5,OFFER,,,14.50,0.00,,0.000,,14.50,0.00,0,
4117,22282,14.6,OFFER,,,14.60,0.00,,0.000,,14.60,0.00,0,
4118,22283,14.7,OFFER,,,14.70,0.00,,0.000,,14.70,0.00,0,
4119,22284,14.8,OFFER,,,14.80,0.00,,0.000,,14.80,0.00,0,
4120,22285,14.9,OFFER,,,14.90,0.00,,0.000,,14.90,0.00,0,
4121,22286,15,OFFER,,,15.00,0.00,,0.000,,15.00,0.00,0,
4122,22287,15.1,OFFER,,,15.10,0.00,,0.000,,15.10,0.00,0,
4123,22288,15.2,OFFER,,,15.20,0.00,,0.000,,15.20,0.00,0,
4124,22289,15.3,OFFER,,,15.30,0.00,,0.000,,15.30,0.00,0,
4125,22290,15.4,OFFER,,,15.40,0.00,,0.000,,15.40,0.00,0,
4126,22291,15.5,OFFER,,,15.50,0.00,,0.000,,15.50,0.00,0,
4127,22292,15.6,OFFER,,,15.60,0.00,,0.000,,15.60,0.00,0,
4128,22293,15.7,OFFER,,,15.70,0.00,,0.000,,15.70,0.00,0,
