campaign_product_id,product_name,subscription_plan
24225,LITE - ANNUALY SUBSCRIPTION,
24226,BASIC - ANNUALY SUBSCRIPTION,
24227,ADVANCED - ANNUALY SUBSCRIPTION,
24228,PRO  - ANNUALY SUBSCRIPTION,
24229,LITE - BI-WEEKLY SUBSCRIPTION,
24230,BASIC - BI-WEEKLY SUBSCRIPTION,
24231,ADVANCED - BI-WEEKLY SUBSCRIPTION,
24232,PRO  - BI-WEEKLY SUBSCRIPTION,
26224,LITE - MONTHLY SUBSCRIPTION,
26225,BASIC - MONTHLY SUBSCRIPTION,
26226,ADVANCED - MONTHLY SUBSCRIPTION,
26227,PRO  - MONTHLY SUBSCRIPTION,
26228,LITE - QUARTERLY SUBSCRIPTION,
26229,BASIC - QUARTERLY SUBSCRIPTION,
26230,ADVANCED - QUARTERLY SUBSCRIPTION,
26231,PRO  - QUARTERLY SUBSCRIPTION,
38767,10 TOKEN PACK,advanced
38768,20 TOKEN PACK,advanced
38769,30 TOKEN PACK,advanced
38770,40 TOKEN PACK,advanced
38771,50 TOKEN PACK,advanced
38772,60 TOKEN PACK,advanced
38773,70 TOKEN PACK,advanced
38774,80 TOKEN PACK,advanced
38775,90 TOKEN PACK,advanced
38776,100 TOKEN PACK,advanced
38777,110 TOKEN PACK,advanced
38778,120 TOKEN PACK,advanced
38779,130 TOKEN PACK,advanced
38780,140 TOKEN PACK,advanced
38781,150 TOKEN PACK,advanced
38782,160 TOKEN PACK,advanced
38783,170 TOKEN PACK,advanced
38784,180 TOKEN PACK,advanced
38785,190 TOKEN PACK,advanced
38786,200 TOKEN PACK,advanced
38787,210 TOKEN PACK,advanced
38788,220 TOKEN PACK,advanced
38789,230 TOKEN PACK,advanced
38790,240 TOKEN PACK,advanced
38791,250 TOKEN PACK,advanced
38792,260 TOKEN PACK,advanced
38793,270 TOKEN PACK,advanced
38794,280 TOKEN PACK,advanced
38795,290 TOKEN PACK,advanced
38796,300 TOKEN PACK,advanced
38797,310 TOKEN PACK,advanced
38798,320 TOKEN PACK,advanced
38799,330 TOKEN PACK,advanced
38800,340 TOKEN PACK,advanced
38801,350 TOKEN PACK,advanced
38802,360 TOKEN PACK,advanced
38803,370 TOKEN PACK,advanced
38804,380 TOKEN PACK,advanced
38805,390 TOKEN PACK,advanced
38806,400 TOKEN PACK,advanced
38807,410 TOKEN PACK,advanced
38808,420 TOKEN PACK,advanced
38809,430 TOKEN PACK,advanced
38810,440 TOKEN PACK,advanced
38811,450 TOKEN PACK,advanced
38812,460 TOKEN PACK,advanced
38813,470 TOKEN PACK,advanced
38814,480 TOKEN PACK,advanced
38815,490 TOKEN PACK,advanced
38816,500 TOKEN PACK,advanced
38817,10 TOKEN PACK,basic
38818,20 TOKEN PACK,basic
38819,30 TOKEN PACK,basic
38820,40 TOKEN PACK,basic
38821,50 TOKEN PACK,basic
38822,60 TOKEN PACK,basic
38823,70 TOKEN PACK,basic
38824,80 TOKEN PACK,basic
38825,90 TOKEN PACK,basic
38826,100 TOKEN PACK,basic
38827,110 TOKEN PACK,basic
38828,120 TOKEN PACK,basic
38829,130 TOKEN PACK,basic
38830,140 TOKEN PACK,basic
38831,150 TOKEN PACK,basic
38832,160 TOKEN PACK,basic
38833,170 TOKEN PACK,basic
38834,180 TOKEN PACK,basic
38835,190 TOKEN PACK,basic
38836,200 TOKEN PACK,basic
38837,210 TOKEN PACK,basic
38838,220 TOKEN PACK,basic
38839,230 TOKEN PACK,basic
38840,240 TOKEN PACK,basic
38841,250 TOKEN PACK,basic
38842,260 TOKEN PACK,basic
38843,270 TOKEN PACK,basic
38844,280 TOKEN PACK,basic
38845,290 TOKEN PACK,basic
38846,300 TOKEN PACK,basic
38847,310 TOKEN PACK,basic
38848,320 TOKEN PACK,basic
38849,330 TOKEN PACK,basic
38850,340 TOKEN PACK,basic
38851,350 TOKEN PACK,basic
38852,360 TOKEN PACK,basic
38853,370 TOKEN PACK,basic
38854,380 TOKEN PACK,basic
38855,390 TOKEN PACK,basic
38856,400 TOKEN PACK,basic
38857,410 TOKEN PACK,basic
38858,420 TOKEN PACK,basic
38859,430 TOKEN PACK,basic
38860,440 TOKEN PACK,basic
38861,450 TOKEN PACK,basic
38862,460 TOKEN PACK,basic
38863,470 TOKEN PACK,basic
38864,480 TOKEN PACK,basic
38865,490 TOKEN PACK,basic
38866,500 TOKEN PACK,basic
38867,10 TOKEN PACK,à la carte
38868,20 TOKEN PACK,à la carte
38869,30 TOKEN PACK,à la carte
38870,40 TOKEN PACK,à la carte
38871,50 TOKEN PACK,à la carte
38872,60 TOKEN PACK,à la carte
38873,70 TOKEN PACK,à la carte
38874,80 TOKEN PACK,à la carte
38875,90 TOKEN PACK,à la carte
38876,100 TOKEN PACK,à la carte
38877,110 TOKEN PACK,à la carte
38878,120 TOKEN PACK,à la carte
38879,130 TOKEN PACK,à la carte
38880,140 TOKEN PACK,à la carte
38881,150 TOKEN PACK,à la carte
38882,160 TOKEN PACK,à la carte
38883,170 TOKEN PACK,à la carte
38884,180 TOKEN PACK,à la carte
38885,190 TOKEN PACK,à la carte
38886,200 TOKEN PACK,à la carte
38887,210 TOKEN PACK,à la carte
38888,220 TOKEN PACK,à la carte
38889,230 TOKEN PACK,à la carte
38890,240 TOKEN PACK,à la carte
38891,250 TOKEN PACK,à la carte
38892,260 TOKEN PACK,à la carte
38893,270 TOKEN PACK,à la carte
38894,280 TOKEN PACK,à la carte
38895,290 TOKEN PACK,à la carte
38896,300 TOKEN PACK,à la carte
38897,310 TOKEN PACK,à la carte
38898,320 TOKEN PACK,à la carte
38899,330 TOKEN PACK,à la carte
38900,340 TOKEN PACK,à la carte
38901,350 TOKEN PACK,à la carte
38902,360 TOKEN PACK,à la carte
38903,370 TOKEN PACK,à la carte
