campaign_product_id,product_name,subscription_plan
28239,LITE - ANNUALY SUBSCRIPTION,lite
28240,BASIC - ANNUALY SUBSCRIPTION,basic
28241,ADVANCED - ANNUALY SUBSCRIPTION,advanced
28242,PRO  - ANNUALY SUBSCRIPTION,pro
28243,LITE - BI-WEEKLY SUBSCRIPTION,lite
28244,BASIC - BI-WEEKLY SUBSCRIPTION,basic
28245,ADVANCED - BI-WEEKLY SUBSCRIPTION,advanced
28246,PRO  - BI-WEEKLY SUBSCRIPTION,pro
30238,LITE - MONTHLY SUBSCRIPTION,lite
30239,BASIC - MONTHLY SUBSCRIPTION,basic
30240,ADVANCED - MONTHLY SUBSCRIPTION,advanced
30241,PRO  - MONTHLY SUBSCRIPTION,pro
30242,LITE - QUARTERLY SUBSCRIPTION,lite
30243,BASIC - QUARTERLY SUBSCRIPTION,basic
30244,ADVANCED - QUARTERLY SUBSCRIPTION,advanced
30245,PRO  - QUARTERLY SUBSCRIPTION,pro
37017,10 TOKEN PACK,advanced
37018,20 TOKEN PACK,advanced
37019,30 TOKEN PACK,advanced
37020,40 TOKEN PACK,advanced
37021,50 TOKEN PACK,advanced
37022,60 TOKEN PACK,advanced
37023,70 TOKEN PACK,advanced
37024,80 TOKEN PACK,advanced
37025,90 TOKEN PACK,advanced
37026,100 TOKEN PACK,advanced
37027,110 TOKEN PACK,advanced
37028,120 TOKEN PACK,advanced
37029,130 TOKEN PACK,advanced
37030,140 TOKEN PACK,advanced
37031,150 TOKEN PACK,advanced
37032,160 TOKEN PACK,advanced
37033,170 TOKEN PACK,advanced
37034,180 TOKEN PACK,advanced
37035,190 TOKEN PACK,advanced
37036,200 TOKEN PACK,advanced
37037,210 TOKEN PACK,advanced
37038,220 TOKEN PACK,advanced
37039,230 TOKEN PACK,advanced
37040,240 TOKEN PACK,advanced
37041,250 TOKEN PACK,advanced
37042,260 TOKEN PACK,advanced
37043,270 TOKEN PACK,advanced
37044,280 TOKEN PACK,advanced
37045,290 TOKEN PACK,advanced
37046,300 TOKEN PACK,advanced
37047,310 TOKEN PACK,advanced
37048,320 TOKEN PACK,advanced
37049,330 TOKEN PACK,advanced
37050,340 TOKEN PACK,advanced
37051,350 TOKEN PACK,advanced
37052,360 TOKEN PACK,advanced
37053,370 TOKEN PACK,advanced
37054,380 TOKEN PACK,advanced
37055,390 TOKEN PACK,advanced
37056,400 TOKEN PACK,advanced
37057,410 TOKEN PACK,advanced
37058,420 TOKEN PACK,advanced
37059,430 TOKEN PACK,advanced
37060,440 TOKEN PACK,advanced
37061,450 TOKEN PACK,advanced
37062,460 TOKEN PACK,advanced
37063,470 TOKEN PACK,advanced
37064,480 TOKEN PACK,advanced
37065,490 TOKEN PACK,advanced
37066,500 TOKEN PACK,advanced
37067,10 TOKEN PACK,basic
37068,20 TOKEN PACK,basic
