campaign_product_id,product_name,subscription_plan
30246,LITE - ANNUALY SUBSCRIPTION,lite
30247,BASIC - ANNUALY SUBSCRIPTION,basic
30248,ADVANCED - ANNUALY SUBSCRIPTION,advanced
30249,PRO  - ANNUALY SUBSCRIPTION,pro
30250,LITE - BI-WEEKLY SUBSCRIPTION,lite
30251,BASIC - BI-WEEKLY SUBSCRIPTION,basic
30252,ADVANCED - BI-WEEKLY SUBSCRIPTION,advanced
30253,PRO  - BI-WEEKLY SUBSCRIPTION,pro
32245,LITE - MONTHLY SUBSCRIPTION,lite
32246,BASIC - MONTHLY SUBSCRIPTION,basic
32247,ADVANCED - MONTHLY SUBSCRIPTION,advanced
32248,PRO  - MONTHLY SUBSCRIPTION,pro
32249,LITE - QUARTERLY SUBSCRIPTION,lite
32250,BASIC - QUARTERLY SUBSCRIPTION,basic
32251,ADVANCED - QUARTERLY SUBSCRIPTION,advanced
32252,PRO  - QUARTERLY SUBSCRIPTION,pro
38017,10 TOKEN PACK,advanced
38018,20 TOKEN PACK,advanced
38019,30 TOKEN PACK,advanced
38020,40 TOKEN PACK,advanced
38021,50 TOKEN PACK,advanced
38022,60 TOKEN PACK,advanced
38023,70 TOKEN PACK,advanced
38024,80 TOKEN PACK,advanced
38025,90 TOKEN PACK,advanced
38026,100 TOKEN PACK,advanced
38027,110 TOKEN PACK,advanced
38028,120 TOKEN PACK,advanced
38029,130 TOKEN PACK,advanced
38030,140 TOKEN PACK,advanced
38031,150 TOKEN PACK,advanced
38032,160 TOKEN PACK,advanced
38033,170 TOKEN PACK,advanced
38034,180 TOKEN PACK,advanced
38035,190 TOKEN PACK,advanced
38036,200 TOKEN PACK,advanced
38037,210 TOKEN PACK,advanced
38038,220 TOKEN PACK,advanced
38039,230 TOKEN PACK,advanced
38040,240 TOKEN PACK,advanced
38041,250 TOKEN PACK,advanced
38042,260 TOKEN PACK,advanced
38043,270 TOKEN PACK,advanced
38044,280 TOKEN PACK,advanced
38045,290 TOKEN PACK,advanced
38046,300 TOKEN PACK,advanced
38047,310 TOKEN PACK,advanced
38048,320 TOKEN PACK,advanced
38049,330 TOKEN PACK,advanced
38050,340 TOKEN PACK,advanced
38051,350 TOKEN PACK,advanced
38052,360 TOKEN PACK,advanced
38053,370 TOKEN PACK,advanced
38054,380 TOKEN PACK,advanced
38055,390 TOKEN PACK,advanced
38056,400 TOKEN PACK,advanced
38057,410 TOKEN PACK,advanced
38058,420 TOKEN PACK,advanced
38059,430 TOKEN PACK,advanced
38060,440 TOKEN PACK,advanced
38061,450 TOKEN PACK,advanced
38062,460 TOKEN PACK,advanced
38063,470 TOKEN PACK,advanced
38064,480 TOKEN PACK,advanced
38065,490 TOKEN PACK,advanced
38066,500 TOKEN PACK,advanced
38067,10 TOKEN PACK,basic
38068,20 TOKEN PACK,basic
38069,30 TOKEN PACK,basic
38070,40 TOKEN PACK,basic
38071,50 TOKEN PACK,basic
38072,60 TOKEN PACK,basic
38073,70 TOKEN PACK,basic
38074,80 TOKEN PACK,basic
38075,90 TOKEN PACK,basic
38076,100 TOKEN PACK,basic
38077,110 TOKEN PACK,basic
38078,120 TOKEN PACK,basic
38079,130 TOKEN PACK,basic
38080,140 TOKEN PACK,basic
38081,150 TOKEN PACK,basic
38082,160 TOKEN PACK,basic
38083,170 TOKEN PACK,basic
38084,180 TOKEN PACK,basic
38085,190 TOKEN PACK,basic
38086,200 TOKEN PACK,basic
38087,210 TOKEN PACK,basic
38088,220 TOKEN PACK,basic
38089,230 TOKEN PACK,basic
38090,240 TOKEN PACK,basic
38091,250 TOKEN PACK,basic
38092,260 TOKEN PACK,basic
38093,270 TOKEN PACK,basic
38094,280 TOKEN PACK,basic
38095,290 TOKEN PACK,basic
38096,300 TOKEN PACK,basic
38097,310 TOKEN PACK,basic
38098,320 TOKEN PACK,basic
38099,330 TOKEN PACK,basic
38100,340 TOKEN PACK,basic
38101,350 TOKEN PACK,basic
38102,360 TOKEN PACK,basic
38103,370 TOKEN PACK,basic
38104,380 TOKEN PACK,basic
38105,390 TOKEN PACK,basic
38106,400 TOKEN PACK,basic
38107,410 TOKEN PACK,basic
38108,420 TOKEN PACK,basic
38109,430 TOKEN PACK,basic
38110,440 TOKEN PACK,basic
38111,450 TOKEN PACK,basic
38112,460 TOKEN PACK,basic
38113,470 TOKEN PACK,basic
38114,480 TOKEN PACK,basic
38115,490 TOKEN PACK,basic
38116,500 TOKEN PACK,basic
38117,10 TOKEN PACK,à la carte
38118,20 TOKEN PACK,à la carte
38119,30 TOKEN PACK,à la carte
38120,40 TOKEN PACK,à la carte
38121,50 TOKEN PACK,à la carte
