campaign_product_id,product_name,subscription_plan
32253,LITE - ANNUALY SUBSCRIPTION,lite
32254,BASIC - ANNUALY SUBSCRIPTION,basic
32255,ADVANCED - ANNUALY SUBSCRIPTION,advanced
32256,PRO  - ANNUALY SUBSCRIPTION,pro
32257,LITE - BI-WEEKLY SUBSCRIPTION,lite
32258,BASIC - BI-WEEKLY SUBSCRIPTION,basic
32259,ADVANCED - BI-WEEKLY SUBSCRIPTION,advanced
32260,PRO  - BI-WEEKLY SUBSCRIPTION,pro
34252,LITE - MONTHLY SUBSCRIPTION,lite
34253,BASIC - MONTHLY SUBSCRIPTION,basic
34254,ADVANCED - MONTHLY SUBSCRIPTION,advanced
34255,PRO  - MONTHLY SUBSCRIPTION,pro
34256,LITE - QUARTERLY SUBSCRIPTION,lite
34257,BASIC - QUARTERLY SUBSCRIPTION,basic
34258,ADVANCED - QUARTERLY SUBSCRIPTION,advanced
34259,PRO  - QUARTERLY SUBSCRIPTION,pro
38267,10 TOKEN PACK,advanced
38268,20 TOKEN PACK,advanced
38269,30 TOKEN PACK,advanced
38270,40 TOKEN PACK,advanced
38271,50 TOKEN PACK,advanced
38272,60 TOKEN PACK,advanced
38273,70 TOKEN PACK,advanced
38274,80 TOKEN PACK,advanced
38275,90 TOKEN PACK,advanced
38276,100 TOKEN PACK,advanced
38277,110 TOKEN PACK,advanced
38278,120 TOKEN PACK,advanced
38279,130 TOKEN PACK,advanced
38280,140 TOKEN PACK,advanced
38281,150 TOKEN PACK,advanced
38282,160 TOKEN PACK,advanced
38283,170 TOKEN PACK,advanced
38284,180 TOKEN PACK,advanced
38285,190 TOKEN PACK,advanced
38286,200 TOKEN PACK,advanced
38287,210 TOKEN PACK,advanced
38288,220 TOKEN PACK,advanced
38289,230 TOKEN PACK,advanced
38290,240 TOKEN PACK,advanced
38291,250 TOKEN PACK,advanced
38292,260 TOKEN PACK,advanced
38293,270 TOKEN PACK,advanced
38294,280 TOKEN PACK,advanced
38295,290 TOKEN PACK,advanced
38296,300 TOKEN PACK,advanced
38297,310 TOKEN PACK,advanced
38298,320 TOKEN PACK,advanced
38299,330 TOKEN PACK,advanced
38300,340 TOKEN PACK,advanced
38301,350 TOKEN PACK,advanced
38302,360 TOKEN PACK,advanced
38303,370 TOKEN PACK,advanced
38304,380 TOKEN PACK,advanced
38305,390 TOKEN PACK,advanced
38306,400 TOKEN PACK,advanced
38307,410 TOKEN PACK,advanced
38308,420 TOKEN PACK,advanced
38309,430 TOKEN PACK,advanced
38310,440 TOKEN PACK,advanced
38311,450 TOKEN PACK,advanced
38312,460 TOKEN PACK,advanced
38313,470 TOKEN PACK,advanced
38314,480 TOKEN PACK,advanced
38315,490 TOKEN PACK,advanced
38316,500 TOKEN PACK,advanced
38317,10 TOKEN PACK,basic
38318,20 TOKEN PACK,basic
38319,30 TOKEN PACK,basic
38320,40 TOKEN PACK,basic
38321,50 TOKEN PACK,basic
38322,60 TOKEN PACK,basic
38323,70 TOKEN PACK,basic
38324,80 TOKEN PACK,basic
38325,90 TOKEN PACK,basic
38326,100 TOKEN PACK,basic
38327,110 TOKEN PACK,basic
38328,120 TOKEN PACK,basic
38329,130 TOKEN PACK,basic
38330,140 TOKEN PACK,basic
38331,150 TOKEN PACK,basic
38332,160 TOKEN PACK,basic
38333,170 TOKEN PACK,basic
38334,180 TOKEN PACK,basic
38335,190 TOKEN PACK,basic
38336,200 TOKEN PACK,basic
38337,210 TOKEN PACK,basic
38338,220 TOKEN PACK,basic
38339,230 TOKEN PACK,basic
38340,240 TOKEN PACK,basic
38341,250 TOKEN PACK,basic
38342,260 TOKEN PACK,basic
38343,270 TOKEN PACK,basic
38344,280 TOKEN PACK,basic
38345,290 TOKEN PACK,basic
38346,300 TOKEN PACK,basic
38347,310 TOKEN PACK,basic
38348,320 TOKEN PACK,basic
38349,330 TOKEN PACK,basic
38350,340 TOKEN PACK,basic
38351,350 TOKEN PACK,basic
38352,360 TOKEN PACK,basic
38353,370 TOKEN PACK,basic
38354,380 TOKEN PACK,basic
38355,390 TOKEN PACK,basic
38356,400 TOKEN PACK,basic
38357,410 TOKEN PACK,basic
38358,420 TOKEN PACK,basic
38359,430 TOKEN PACK,basic
38360,440 TOKEN PACK,basic
38361,450 TOKEN PACK,basic
38362,460 TOKEN PACK,basic
38363,470 TOKEN PACK,basic
38364,480 TOKEN PACK,basic
38365,490 TOKEN PACK,basic
38366,500 TOKEN PACK,basic
38367,10 TOKEN PACK,à la carte
38368,20 TOKEN PACK,à la carte
38369,30 TOKEN PACK,à la carte
38370,40 TOKEN PACK,à la carte
38371,50 TOKEN PACK,à la carte
38372,60 TOKEN PACK,à la carte
38373,70 TOKEN PACK,à la carte
38374,80 TOKEN PACK,à la carte
38375,90 TOKEN PACK,à la carte
38376,100 TOKEN PACK,à la carte
38377,110 TOKEN PACK,à la carte
38378,120 TOKEN PACK,à la carte
38379,130 TOKEN PACK,à la carte
38380,140 TOKEN PACK,à la carte
38381,150 TOKEN PACK,à la carte
38382,160 TOKEN PACK,à la carte
38383,170 TOKEN PACK,à la carte
38384,180 TOKEN PACK,à la carte
38385,190 TOKEN PACK,à la carte
38386,200 TOKEN PACK,à la carte
38387,210 TOKEN PACK,à la carte
38388,220 TOKEN PACK,à la carte
38389,230 TOKEN PACK,à la carte
38390,240 TOKEN PACK,à la carte
38391,250 TOKEN PACK,à la carte
38392,260 TOKEN PACK,à la carte
38393,270 TOKEN PACK,à la carte
38394,280 TOKEN PACK,à la carte
38395,290 TOKEN PACK,à la carte
38396,300 TOKEN PACK,à la carte
38397,310 TOKEN PACK,à la carte
38398,320 TOKEN PACK,à la carte
38399,330 TOKEN PACK,à la carte
38400,340 TOKEN PACK,à la carte
38401,350 TOKEN PACK,à la carte
38402,360 TOKEN PACK,à la carte
38403,370 TOKEN PACK,à la carte
38404,380 TOKEN PACK,à la carte
38405,390 TOKEN PACK,à la carte
38406,400 TOKEN PACK,à la carte
38407,410 TOKEN PACK,à la carte
38408,420 TOKEN PACK,à la carte
38409,430 TOKEN PACK,à la carte
38410,440 TOKEN PACK,à la carte
38411,450 TOKEN PACK,à la carte
38412,460 TOKEN PACK,à la carte
38413,470 TOKEN PACK,à la carte
38414,480 TOKEN PACK,à la carte
38415,490 TOKEN PACK,à la carte
38416,500 TOKEN PACK,à la carte
38417,10 TOKEN PACK,lite
38418,20 TOKEN PACK,lite
38419,30 TOKEN PACK,lite
38420,40 TOKEN PACK,lite
38421,50 TOKEN PACK,lite
38422,60 TOKEN PACK,lite
38423,70 TOKEN PACK,lite
38424,80 TOKEN PACK,lite
38425,90 TOKEN PACK,lite
38426,100 TOKEN PACK,lite
38427,110 TOKEN PACK,lite
38428,120 TOKEN PACK,lite
38429,130 TOKEN PACK,lite
38430,140 TOKEN PACK,lite
38431,150 TOKEN PACK,lite
38432,160 TOKEN PACK,lite
38433,170 TOKEN PACK,lite
38434,180 TOKEN PACK,lite
38435,190 TOKEN PACK,lite
38436,200 TOKEN PACK,lite
38437,210 TOKEN PACK,lite
38438,220 TOKEN PACK,lite
38439,230 TOKEN PACK,lite
38440,240 TOKEN PACK,lite
38441,250 TOKEN PACK,lite
38442,260 TOKEN PACK,lite
38443,270 TOKEN PACK,lite
38444,280 TOKEN PACK,lite
38445,290 TOKEN PACK,lite
38446,300 TOKEN PACK,lite
38447,310 TOKEN PACK,lite
38448,320 TOKEN PACK,lite
38449,330 TOKEN PACK,lite
38450,340 TOKEN PACK,lite
38451,350 TOKEN PACK,lite
38452,360 TOKEN PACK,lite
38453,370 TOKEN PACK,lite
38454,380 TOKEN PACK,lite
38455,390 TOKEN PACK,lite
38456,400 TOKEN PACK,lite
38457,410 TOKEN PACK,lite
38458,420 TOKEN PACK,lite
38459,430 TOKEN PACK,lite
38460,440 TOKEN PACK,lite
38461,450 TOKEN PACK,lite
38462,460 TOKEN PACK,lite
38463,470 TOKEN PACK,lite
38464,480 TOKEN PACK,lite
38465,490 TOKEN PACK,lite
38466,500 TOKEN PACK,lite
38467,10 TOKEN PACK,pro
38468,20 TOKEN PACK,pro
38469,30 TOKEN PACK,pro
38470,40 TOKEN PACK,pro
38471,50 TOKEN PACK,pro
38472,60 TOKEN PACK,pro
38473,70 TOKEN PACK,pro
38474,80 TOKEN PACK,pro
38475,90 TOKEN PACK,pro
38476,100 TOKEN PACK,pro
38477,110 TOKEN PACK,pro
38478,120 TOKEN PACK,pro
38479,130 TOKEN PACK,pro
38480,140 TOKEN PACK,pro
38481,150 TOKEN PACK,pro
38482,160 TOKEN PACK,pro
38483,170 TOKEN PACK,pro
38484,180 TOKEN PACK,pro
38485,190 TOKEN PACK,pro
38486,200 TOKEN PACK,pro
38487,210 TOKEN PACK,pro
38488,220 TOKEN PACK,pro
38489,230 TOKEN PACK,pro
38490,240 TOKEN PACK,pro
38491,250 TOKEN PACK,pro
38492,260 TOKEN PACK,pro
38493,270 TOKEN PACK,pro
38494,280 TOKEN PACK,pro
38495,290 TOKEN PACK,pro
38496,300 TOKEN PACK,pro
38497,310 TOKEN PACK,pro
38498,320 TOKEN PACK,pro
38499,330 TOKEN PACK,pro
38500,340 TOKEN PACK,pro
38501,350 TOKEN PACK,pro
38502,360 TOKEN PACK,pro
38503,370 TOKEN PACK,pro
38504,380 TOKEN PACK,pro
38505,390 TOKEN PACK,pro
38506,400 TOKEN PACK,pro
38507,410 TOKEN PACK,pro
38508,420 TOKEN PACK,pro
38509,430 TOKEN PACK,pro
38510,440 TOKEN PACK,pro
38511,450 TOKEN PACK,pro
38512,460 TOKEN PACK,pro
38513,470 TOKEN PACK,pro
38514,480 TOKEN PACK,pro
38515,490 TOKEN PACK,pro
38516,500 TOKEN PACK,pro
