campaign_product_id,product_name,subscription_plan
34260,LITE - ANNUALY SUBSCRIPTION,
34261,BASIC - ANNUALY SUBSCRIPTION,
34262,ADVANCED - ANNUALY SUBSCRIPTION,
34263,PRO  - ANNUALY SUBSCRIPTION,
34264,LITE - BI-WEEKLY SUBSCRIPTION,
34265,BASIC - BI-WEEKLY SUBSCRIPTION,
34266,ADVANCED - BI-WEEKLY SUBSCRIPTION,
34267,PRO  - BI-WEEKLY SUBSCRIPTION,
36259,LITE - MONTHLY SUBSCRIPTION,
36260,BASIC - MONTHLY SUBSCRIPTION,
36261,ADVANCED - MONTHLY SUBSCRIPTION,
36262,PRO  - MONTHLY SUBSCRIPTION,
36263,LITE - QUARTERLY SUBSCRIPTION,
36264,BASIC - QUARTERLY SUBSCRIPTION,
36265,ADVANCED - QUARTERLY SUBSCRIPTION,
36266,PRO  - QUARTERLY SUBSCRIPTION,
39767,10 TOKEN PACK,advanced
39768,20 TOKEN PACK,advanced
39769,30 TOKEN PACK,advanced
39770,40 TOKEN PACK,advanced
39771,50 TOKEN PACK,advanced
39772,60 TOKEN PACK,advanced
39773,70 TOKEN PACK,advanced
39774,80 TOKEN PACK,advanced
39775,90 TOKEN PACK,advanced
39776,100 TOKEN PACK,advanced
39777,110 TOKEN PACK,advanced
39778,120 TOKEN PACK,advanced
39779,130 TOKEN PACK,advanced
39780,140 TOKEN PACK,advanced
39781,150 TOKEN PACK,advanced
39782,160 TOKEN PACK,advanced
39783,170 TOKEN PACK,advanced
39784,180 TOKEN PACK,advanced
39785,190 TOKEN PACK,advanced
39786,200 TOKEN PACK,advanced
39787,210 TOKEN PACK,advanced
39788,220 TOKEN PACK,advanced
39789,230 TOKEN PACK,advanced
39790,240 TOKEN PACK,advanced
39791,250 TOKEN PACK,advanced
39792,260 TOKEN PACK,advanced
39793,270 TOKEN PACK,advanced
39794,280 TOKEN PACK,advanced
39795,290 TOKEN PACK,advanced
39796,300 TOKEN PACK,advanced
39797,310 TOKEN PACK,advanced
39798,320 TOKEN PACK,advanced
39799,330 TOKEN PACK,advanced
39800,340 TOKEN PACK,advanced
39801,350 TOKEN PACK,advanced
39802,360 TOKEN PACK,advanced
39803,370 TOKEN PACK,advanced
39804,380 TOKEN PACK,advanced
39805,390 TOKEN PACK,advanced
39806,400 TOKEN PACK,advanced
39807,410 TOKEN PACK,advanced
39808,420 TOKEN PACK,advanced
39809,430 TOKEN PACK,advanced
39810,440 TOKEN PACK,advanced
39811,450 TOKEN PACK,advanced
39812,460 TOKEN PACK,advanced
39813,470 TOKEN PACK,advanced
39814,480 TOKEN PACK,advanced
39815,490 TOKEN PACK,advanced
39816,500 TOKEN PACK,advanced
39817,10 TOKEN PACK,basic
39818,20 TOKEN PACK,basic
39819,30 TOKEN PACK,basic
39820,40 TOKEN PACK,basic
39821,50 TOKEN PACK,basic
39822,60 TOKEN PACK,basic
39823,70 TOKEN PACK,basic
39824,80 TOKEN PACK,basic
39825,90 TOKEN PACK,basic
39826,100 TOKEN PACK,basic
39827,110 TOKEN PACK,basic
39828,120 TOKEN PACK,basic
39829,130 TOKEN PACK,basic
39830,140 TOKEN PACK,basic
39831,150 TOKEN PACK,basic
39832,160 TOKEN PACK,basic
39833,170 TOKEN PACK,basic
39834,180 TOKEN PACK,basic
39835,190 TOKEN PACK,basic
39836,200 TOKEN PACK,basic
39837,210 TOKEN PACK,basic
39838,220 TOKEN PACK,basic
39839,230 TOKEN PACK,basic
39840,240 TOKEN PACK,basic
39841,250 TOKEN PACK,basic
39842,260 TOKEN PACK,basic
39843,270 TOKEN PACK,basic
39844,280 TOKEN PACK,basic
39845,290 TOKEN PACK,basic
39846,300 TOKEN PACK,basic
39847,310 TOKEN PACK,basic
39848,320 TOKEN PACK,basic
39849,330 TOKEN PACK,basic
39850,340 TOKEN PACK,basic
39851,350 TOKEN PACK,basic
39852,360 TOKEN PACK,basic
39853,370 TOKEN PACK,basic
39854,380 TOKEN PACK,basic
39855,390 TOKEN PACK,basic
39856,400 TOKEN PACK,basic
39857,410 TOKEN PACK,basic
39858,420 TOKEN PACK,basic
39859,430 TOKEN PACK,basic
39860,440 TOKEN PACK,basic
39861,450 TOKEN PACK,basic
39862,460 TOKEN PACK,basic
39863,470 TOKEN PACK,basic
39864,480 TOKEN PACK,basic
39865,490 TOKEN PACK,basic
39866,500 TOKEN PACK,basic
39867,10 TOKEN PACK,à la carte
39868,20 TOKEN PACK,à la carte
39869,30 TOKEN PACK,à la carte
39870,40 TOKEN PACK,à la carte
39871,50 TOKEN PACK,à la carte
39872,60 TOKEN PACK,à la carte
39873,70 TOKEN PACK,à la carte
39874,80 TOKEN PACK,à la carte
39875,90 TOKEN PACK,à la carte
39876,100 TOKEN PACK,à la carte
39877,110 TOKEN PACK,à la carte
39878,120 TOKEN PACK,à la carte
39879,130 TOKEN PACK,à la carte
39880,140 TOKEN PACK,à la carte
39881,150 TOKEN PACK,à la carte
39882,160 TOKEN PACK,à la carte
39883,170 TOKEN PACK,à la carte
39884,180 TOKEN PACK,à la carte
39885,190 TOKEN PACK,à la carte
39886,200 TOKEN PACK,à la carte
39887,210 TOKEN PACK,à la carte
39888,220 TOKEN PACK,à la carte
39889,230 TOKEN PACK,à la carte
39890,240 TOKEN PACK,à la carte
39891,250 TOKEN PACK,à la carte
39892,260 TOKEN PACK,à la carte
39893,270 TOKEN PACK,à la carte
39894,280 TOKEN PACK,à la carte
39895,290 TOKEN PACK,à la carte
39896,300 TOKEN PACK,à la carte
39897,310 TOKEN PACK,à la carte
39898,320 TOKEN PACK,à la carte
39899,330 TOKEN PACK,à la carte
39900,340 TOKEN PACK,à la carte
39901,350 TOKEN PACK,à la carte
39902,360 TOKEN PACK,à la carte
39903,370 TOKEN PACK,à la carte
39904,380 TOKEN PACK,à la carte
39905,390 TOKEN PACK,à la carte
39906,400 TOKEN PACK,à la carte
39907,410 TOKEN PACK,à la carte
39908,420 TOKEN PACK,à la carte
39909,430 TOKEN PACK,à la carte
39910,440 TOKEN PACK,à la carte
39911,450 TOKEN PACK,à la carte
39912,460 TOKEN PACK,à la carte
39913,470 TOKEN PACK,à la carte
39914,480 TOKEN PACK,à la carte
39915,490 TOKEN PACK,à la carte
39916,500 TOKEN PACK,à la carte
39917,10 TOKEN PACK,lite
39918,20 TOKEN PACK,lite
39919,30 TOKEN PACK,lite
39920,40 TOKEN PACK,lite
39921,50 TOKEN PACK,lite
39922,60 TOKEN PACK,lite
39923,70 TOKEN PACK,lite
39924,80 TOKEN PACK,lite
39925,90 TOKEN PACK,lite
39926,100 TOKEN PACK,lite
39927,110 TOKEN PACK,lite
39928,120 TOKEN PACK,lite
39929,130 TOKEN PACK,lite
39930,140 TOKEN PACK,lite
39931,150 TOKEN PACK,lite
39932,160 TOKEN PACK,lite
39933,170 TOKEN PACK,lite
39934,180 TOKEN PACK,lite
39935,190 TOKEN PACK,lite
39936,200 TOKEN PACK,lite
39937,210 TOKEN PACK,lite
39938,220 TOKEN PACK,lite
39939,230 TOKEN PACK,lite
39940,240 TOKEN PACK,lite
39941,250 TOKEN PACK,lite
39942,260 TOKEN PACK,lite
39943,270 TOKEN PACK,lite
39944,280 TOKEN PACK,lite
39945,290 TOKEN PACK,lite
39946,300 TOKEN PACK,lite
39947,310 TOKEN PACK,lite
39948,320 TOKEN PACK,lite
39949,330 TOKEN PACK,lite
39950,340 TOKEN PACK,lite
39951,350 TOKEN PACK,lite
39952,360 TOKEN PACK,lite
39953,370 TOKEN PACK,lite
39954,380 TOKEN PACK,lite
39955,390 TOKEN PACK,lite
39956,400 TOKEN PACK,lite
39957,410 TOKEN PACK,lite
39958,420 TOKEN PACK,lite
39959,430 TOKEN PACK,lite
39960,440 TOKEN PACK,lite
39961,450 TOKEN PACK,lite
39962,460 TOKEN PACK,lite
39963,470 TOKEN PACK,lite
39964,480 TOKEN PACK,lite
39965,490 TOKEN PACK,lite
39966,500 TOKEN PACK,lite
39967,10 TOKEN PACK,pro
39968,20 TOKEN PACK,pro
39969,30 TOKEN PACK,pro
39970,40 TOKEN PACK,pro
39971,50 TOKEN PACK,pro
39972,60 TOKEN PACK,pro
39973,70 TOKEN PACK,pro
39974,80 TOKEN PACK,pro
39975,90 TOKEN PACK,pro
39976,100 TOKEN PACK,pro
39977,110 TOKEN PACK,pro
39978,120 TOKEN PACK,pro
39979,130 TOKEN PACK,pro
39980,140 TOKEN PACK,pro
39981,150 TOKEN PACK,pro
39982,160 TOKEN PACK,pro
39983,170 TOKEN PACK,pro
39984,180 TOKEN PACK,pro
39985,190 TOKEN PACK,pro
39986,200 TOKEN PACK,pro
39987,210 TOKEN PACK,pro
39988,220 TOKEN PACK,pro
39989,230 TOKEN PACK,pro
39990,240 TOKEN PACK,pro
39991,250 TOKEN PACK,pro
39992,260 TOKEN PACK,pro
39993,270 TOKEN PACK,pro
39994,280 TOKEN PACK,pro
39995,290 TOKEN PACK,pro
39996,300 TOKEN PACK,pro
39997,310 TOKEN PACK,pro
39998,320 TOKEN PACK,pro
39999,330 TOKEN PACK,pro
40000,340 TOKEN PACK,pro
40001,350 TOKEN PACK,pro
40002,360 TOKEN PACK,pro
40003,370 TOKEN PACK,pro
40004,380 TOKEN PACK,pro
40005,390 TOKEN PACK,pro
40006,400 TOKEN PACK,pro
40007,410 TOKEN PACK,pro
40008,420 TOKEN PACK,pro
40009,430 TOKEN PACK,pro
40010,440 TOKEN PACK,pro
40011,450 TOKEN PACK,pro
40012,460 TOKEN PACK,pro
40013,470 TOKEN PACK,pro
40014,480 TOKEN PACK,pro
40015,490 TOKEN PACK,pro
40016,500 TOKEN PACK,pro
